Epoch: 0, test/loss: 3.495, test/accu: 0.058
Epoch: 1, train/loss: 3.156, train/accu: 0.148
Epoch: 1, test/loss: 3.324, test/accu: 0.108
Epoch: 2, train/loss: 3.005, train/accu: 0.178
Epoch: 2, test/loss: 3.549, test/accu: 0.081
Epoch: 3, train/loss: 2.913, train/accu: 0.202
Epoch: 3, test/loss: 3.889, test/accu: 0.070
Epoch: 4, train/loss: 2.856, train/accu: 0.218
Epoch: 4, test/loss: 3.257, test/accu: 0.137
Epoch: 5, train/loss: 2.813, train/accu: 0.226
Epoch: 5, test/loss: 3.696, test/accu: 0.076
Epoch: 6, train/loss: 2.776, train/accu: 0.237
Epoch: 6, test/loss: 3.403, test/accu: 0.082
Epoch: 7, train/loss: 2.752, train/accu: 0.243
Epoch: 7, test/loss: 3.623, test/accu: 0.109
Epoch: 8, train/loss: 2.731, train/accu: 0.248
Epoch: 8, test/loss: 3.316, test/accu: 0.123
Epoch: 9, train/loss: 2.712, train/accu: 0.255
Epoch: 9, test/loss: 3.493, test/accu: 0.126
Epoch: 10, train/loss: 2.697, train/accu: 0.259
Epoch: 10, test/loss: 3.415, test/accu: 0.126
Epoch: 11, train/loss: 2.686, train/accu: 0.262
Epoch: 11, test/loss: 3.383, test/accu: 0.092
Epoch: 12, train/loss: 2.669, train/accu: 0.267
Epoch: 12, test/loss: 3.882, test/accu: 0.123
Epoch: 13, train/loss: 2.657, train/accu: 0.273
Epoch: 13, test/loss: 3.876, test/accu: 0.094
Epoch: 14, train/loss: 2.649, train/accu: 0.275
Epoch: 14, test/loss: 3.277, test/accu: 0.168
Epoch: 15, train/loss: 2.641, train/accu: 0.276
Epoch: 15, test/loss: 3.466, test/accu: 0.112
Epoch: 16, train/loss: 2.638, train/accu: 0.277
Epoch: 16, test/loss: 3.260, test/accu: 0.143
Epoch: 17, train/loss: 2.629, train/accu: 0.280
Epoch: 17, test/loss: 3.658, test/accu: 0.094
Epoch: 18, train/loss: 2.626, train/accu: 0.283
Epoch: 18, test/loss: 3.332, test/accu: 0.131
Epoch: 19, train/loss: 2.620, train/accu: 0.282
Epoch: 19, test/loss: 3.423, test/accu: 0.153
Epoch: 20, train/loss: 2.620, train/accu: 0.280
Epoch: 20, test/loss: 3.306, test/accu: 0.163
Epoch: 21, train/loss: 2.611, train/accu: 0.288
Epoch: 21, test/loss: 3.556, test/accu: 0.119
Epoch: 22, train/loss: 2.603, train/accu: 0.288
Epoch: 22, test/loss: 3.423, test/accu: 0.102
Epoch: 23, train/loss: 2.600, train/accu: 0.290
Epoch: 23, test/loss: 3.752, test/accu: 0.101
Epoch: 24, train/loss: 2.601, train/accu: 0.293
Epoch: 24, test/loss: 3.663, test/accu: 0.135
Epoch: 25, train/loss: 2.597, train/accu: 0.291
Epoch: 25, test/loss: 3.647, test/accu: 0.106
Epoch: 26, train/loss: 2.588, train/accu: 0.293
Epoch: 26, test/loss: 3.523, test/accu: 0.134
Epoch: 27, train/loss: 2.595, train/accu: 0.291
Epoch: 27, test/loss: 4.120, test/accu: 0.108
Epoch: 28, train/loss: 2.581, train/accu: 0.293
Epoch: 28, test/loss: 3.287, test/accu: 0.153
Epoch: 29, train/loss: 2.585, train/accu: 0.294
Epoch: 29, test/loss: 3.213, test/accu: 0.151
Epoch: 30, train/loss: 2.583, train/accu: 0.292
Epoch: 30, test/loss: 3.273, test/accu: 0.144
Epoch: 31, train/loss: 2.577, train/accu: 0.296
Epoch: 31, test/loss: 3.325, test/accu: 0.170
