Epoch: 5, test/loss: 2.833, test/accu: 0.268
Epoch: 10, test/loss: 2.750, test/accu: 0.262
Epoch: 15, test/loss: 2.730, test/accu: 0.266
Epoch: 20, test/loss: 2.796, test/accu: 0.241
Epoch: 25, test/loss: 2.709, test/accu: 0.269
Epoch: 30, test/loss: 2.748, test/accu: 0.263
Epoch: 35, test/loss: 2.756, test/accu: 0.264
Epoch: 40, test/loss: 2.772, test/accu: 0.256
Epoch: 45, test/loss: 2.796, test/accu: 0.255
Epoch: 50, test/loss: 2.753, test/accu: 0.263
Epoch: 55, test/loss: 2.786, test/accu: 0.261
Epoch: 60, test/loss: 2.802, test/accu: 0.262
Epoch: 65, test/loss: 2.778, test/accu: 0.264
Epoch: 70, test/loss: 2.778, test/accu: 0.265
Epoch: 75, test/loss: 2.823, test/accu: 0.260
Epoch: 80, test/loss: 2.836, test/accu: 0.248
Epoch: 85, test/loss: 2.808, test/accu: 0.251
Epoch: 90, test/loss: 2.753, test/accu: 0.268
Epoch: 95, test/loss: 2.828, test/accu: 0.251
Epoch: 100, test/loss: 2.786, test/accu: 0.259
Epoch: 105, test/loss: 2.862, test/accu: 0.247
Epoch: 110, test/loss: 2.772, test/accu: 0.264
Epoch: 115, test/loss: 2.852, test/accu: 0.245
Epoch: 120, test/loss: 2.836, test/accu: 0.249
Epoch: 125, test/loss: 2.707, test/accu: 0.274
Epoch: 130, test/loss: 2.714, test/accu: 0.276
Epoch: 135, test/loss: 2.695, test/accu: 0.276
Epoch: 140, test/loss: 2.697, test/accu: 0.274
Epoch: 145, test/loss: 2.688, test/accu: 0.278
Epoch: 150, test/loss: 2.682, test/accu: 0.278
Epoch: 155, test/loss: 2.710, test/accu: 0.276
Epoch: 160, test/loss: 2.688, test/accu: 0.278
Epoch: 165, test/loss: 2.693, test/accu: 0.276
Epoch: 170, test/loss: 2.685, test/accu: 0.280
Epoch: 175, test/loss: 2.699, test/accu: 0.275
Epoch: 180, test/loss: 2.687, test/accu: 0.278
Epoch: 185, test/loss: 2.659, test/accu: 0.283
Epoch: 190, test/loss: 2.662, test/accu: 0.283
Epoch: 195, test/loss: 2.650, test/accu: 0.284
Epoch: 200, test/loss: 2.657, test/accu: 0.283
Epoch: 205, test/loss: 2.657, test/accu: 0.283
Epoch: 210, test/loss: 2.643, test/accu: 0.285
Epoch: 215, test/loss: 2.640, test/accu: 0.286
Epoch: 220, test/loss: 2.642, test/accu: 0.286
Epoch: 225, test/loss: 2.645, test/accu: 0.285
Epoch: 230, test/loss: 2.646, test/accu: 0.284
Epoch: 235, test/loss: 2.641, test/accu: 0.285
Epoch: 240, test/loss: 2.633, test/accu: 0.295
Epoch: 245, test/loss: 2.633, test/accu: 0.287
Epoch: 250, test/loss: 2.634, test/accu: 0.288
Epoch: 255, test/loss: 2.639, test/accu: 0.286
Epoch: 260, test/loss: 2.634, test/accu: 0.287
Epoch: 265, test/loss: 2.635, test/accu: 0.287
Epoch: 270, test/loss: 2.634, test/accu: 0.287
Epoch: 275, test/loss: 2.632, test/accu: 0.287
Epoch: 280, test/loss: 2.635, test/accu: 0.287
Epoch: 285, test/loss: 2.631, test/accu: 0.288
Epoch: 290, test/loss: 2.634, test/accu: 0.287
Epoch: 295, test/loss: 2.629, test/accu: 0.288
Epoch: 300, test/loss: 2.635, test/accu: 0.287
Epoch: 0, test/loss: 2.635, test/accu: 0.287
