Epoch: 5, test/loss: 0.718, test/accu: 0.782
Epoch: 10, test/loss: 0.635, test/accu: 0.805
Epoch: 15, test/loss: 0.598, test/accu: 0.813
Epoch: 20, test/loss: 0.556, test/accu: 0.835
Epoch: 25, test/loss: 0.728, test/accu: 0.769
Epoch: 30, test/loss: 0.547, test/accu: 0.835
Epoch: 35, test/loss: 0.638, test/accu: 0.813
Epoch: 40, test/loss: 0.551, test/accu: 0.839
Epoch: 45, test/loss: 0.596, test/accu: 0.818
Epoch: 50, test/loss: 0.610, test/accu: 0.809
Epoch: 55, test/loss: 0.510, test/accu: 0.845
Epoch: 60, test/loss: 0.573, test/accu: 0.819
Epoch: 65, test/loss: 0.587, test/accu: 0.816
Epoch: 70, test/loss: 0.539, test/accu: 0.838
Epoch: 75, test/loss: 0.616, test/accu: 0.815
Epoch: 80, test/loss: 0.680, test/accu: 0.798
Epoch: 85, test/loss: 0.577, test/accu: 0.803
Epoch: 90, test/loss: 0.560, test/accu: 0.825
Epoch: 95, test/loss: 0.575, test/accu: 0.822
Epoch: 100, test/loss: 0.517, test/accu: 0.841
Epoch: 105, test/loss: 0.525, test/accu: 0.848
Epoch: 110, test/loss: 0.478, test/accu: 0.847
Epoch: 115, test/loss: 0.568, test/accu: 0.828
Epoch: 120, test/loss: 0.516, test/accu: 0.840
Epoch: 125, test/loss: 0.339, test/accu: 0.898
Epoch: 130, test/loss: 0.322, test/accu: 0.901
Epoch: 135, test/loss: 0.321, test/accu: 0.893
Epoch: 140, test/loss: 0.304, test/accu: 0.903
Epoch: 145, test/loss: 0.319, test/accu: 0.901
Epoch: 150, test/loss: 0.305, test/accu: 0.905
Epoch: 155, test/loss: 0.313, test/accu: 0.903
Epoch: 160, test/loss: 0.301, test/accu: 0.907
Epoch: 165, test/loss: 0.301, test/accu: 0.901
Epoch: 170, test/loss: 0.301, test/accu: 0.905
Epoch: 175, test/loss: 0.296, test/accu: 0.912
Epoch: 180, test/loss: 0.309, test/accu: 0.894
Epoch: 185, test/loss: 0.269, test/accu: 0.912
Epoch: 190, test/loss: 0.266, test/accu: 0.916
Epoch: 195, test/loss: 0.262, test/accu: 0.919
Epoch: 200, test/loss: 0.266, test/accu: 0.916
Epoch: 205, test/loss: 0.265, test/accu: 0.917
Epoch: 210, test/loss: 0.261, test/accu: 0.917
Epoch: 215, test/loss: 0.256, test/accu: 0.921
Epoch: 220, test/loss: 0.264, test/accu: 0.920
Epoch: 225, test/loss: 0.265, test/accu: 0.918
Epoch: 230, test/loss: 0.258, test/accu: 0.918
Epoch: 235, test/loss: 0.265, test/accu: 0.917
Epoch: 240, test/loss: 0.256, test/accu: 0.919
Epoch: 245, test/loss: 0.256, test/accu: 0.919
Epoch: 250, test/loss: 0.256, test/accu: 0.917
Epoch: 255, test/loss: 0.258, test/accu: 0.920
Epoch: 260, test/loss: 0.257, test/accu: 0.919
Epoch: 265, test/loss: 0.264, test/accu: 0.918
Epoch: 270, test/loss: 0.269, test/accu: 0.917
Epoch: 275, test/loss: 0.256, test/accu: 0.918
Epoch: 280, test/loss: 0.262, test/accu: 0.917
Epoch: 285, test/loss: 0.257, test/accu: 0.918
Epoch: 290, test/loss: 0.259, test/accu: 0.919
Epoch: 295, test/loss: 0.258, test/accu: 0.921
Epoch: 300, test/loss: 0.257, test/accu: 0.920
